name	id
Schulbibliothek in der Albert-Schweitzer-Schule	http://lobid.org/organisations/DBS-AA004#!
Schulbibliothek in der Ackermannschule	http://lobid.org/organisations/DBS-AA001#!
Schulbibliothek in der Anne-Frank-Schule	http://lobid.org/organisations/DBS-AA005#!
Schulbibliothek in der Astrid-Lindgren-Schule	http://lobid.org/organisations/DBS-AA006#!
Schulbibliothek im Adorno-Gymnasium	http://lobid.org/organisations/DBS-AA003#!
Schulbibliothek in der Bonifatiusschule	http://lobid.org/organisations/DBS-AA013#!
Schulbibliothek in der Adolf-Reichwein-Schule	http://lobid.org/organisations/DBS-AA002#!
Schulbibliothek in den Beruflichen Schulen Berta Jourdan	http://lobid.org/organisations/DBS-AA011#!
Schulbibliothek in der Berkersheimer Schule	http://lobid.org/organisations/DBS-AA008#!
Schulbibliothek in der Bürgermeister-Grimm-Schule	http://lobid.org/organisations/DBS-AA016#!
Schulbibliothek in der August-Jaspert-Schule	http://lobid.org/organisations/DBS-AA007#!
Schulbibliothek in der Bettinaschule	http://lobid.org/organisations/DBS-AA012#!
Schulbibliothek in der Diesterwegschule	http://lobid.org/organisations/DBS-AA021#!
Schulbibliothek in der Brüder-Grimm-Schule	http://lobid.org/organisations/DBS-AA015#!
Schulbibliothek in der Carl-von-Weinberg-Schule	http://lobid.org/organisations/DBS-AA019#!
Schulbibliothek in der Brentanoschule	http://lobid.org/organisations/DBS-AA014#!
Schulbibliothek in der Carlo-Mierendorff-Schule	http://lobid.org/organisations/DBS-AA017#!
Schulbibliothek in der Freiligrathschule	http://lobid.org/organisations/DBS-AA035#!
Schulbibliothek in der Carl-Schurz-Schule	http://lobid.org/organisations/DBS-AA018#!
Schulbibliothek in der Edith-Stein-Schule	http://lobid.org/organisations/DBS-AA023#!
Schulbibliothek in der Elsa-Brändström-Schule	http://lobid.org/organisations/DBS-AA026#!
Schulbibliothek Elisabethenschule & Fürstenbergerschule	http://lobid.org/organisations/DBS-AA025#!
Schulbibliothek in der Friedrich-Ebert-Schule	http://lobid.org/organisations/DBS-AA039#!
Schulbibliothek in der Dahlmannschule	http://lobid.org/organisations/DBS-AA020#!
Schulbibliothek in der Eichendorffschule	http://lobid.org/organisations/DBS-AA024#!
Schulbibliothek in der Ernst-Reuter-Schule I	http://lobid.org/organisations/DBS-AA028#!
Schulbibliothek in der Falkschule	http://lobid.org/organisations/DBS-AA030#!
Schulbibliothek in der Friedrich-Fröbel-Schule	http://lobid.org/organisations/DBS-AA040#!
Schulbibliothek in der Engelbert-Humperdinck-Schule	http://lobid.org/organisations/DBS-AA027#!
Schulbibliothek in der Franckeschule	http://lobid.org/organisations/DBS-AA031#!
Schulbibliothek in der Fridtjof-Nansen-Schule	http://lobid.org/organisations/DBS-AA036#!
Schulbibliothek in der Ernst-Reuter-Schule II	http://lobid.org/organisations/DBS-AA029#!
Schulbibliothek in der Georg-Büchner-Schule/Sekundarstufe	http://lobid.org/organisations/DBS-AA044#!
Schulbibliothek in der Frauenhofschule	http://lobid.org/organisations/DBS-AA032#!
Schulbibliothek im Friedrich-Dessauer-Gymnasium	http://lobid.org/organisations/DBS-AA038#!
Schulbibliothek im Gymnasium Nord	http://lobid.org/organisations/DBS-AA054#!
